timestamp,user_id,label,anomaly_type,bytes_sent,bytes_received,hour,is_weekend,user_id_encoded,source_ip_encoded,destination_ip_encoded,event_type_encoded,login_status_encoded,protocol_encoded,split
2025-01-01 08:00:30,user_098,0,normal,-0.09574766,-0.01640314,-1.434952,0.0,97,99,640,2,1,1,train
2025-01-01 08:02:08,user_061,0,normal,-0.12609336,-0.109124005,-1.434952,0.0,60,138,552,2,1,4,train
2025-01-01 08:02:18,user_049,1,brute_force_login,-0.13685314,-1.6214398,-1.434952,0.0,48,53,127,3,0,1,train
2025-01-01 08:02:30,user_010,0,normal,-0.12276105,0.6585931,-1.434952,0.0,9,150,468,2,1,4,train
2025-01-01 08:02:32,user_092,0,normal,-0.06764197,1.5037835,-1.434952,0.0,91,12,1013,0,1,0,train
2025-01-01 08:03:46,user_094,0,normal,-0.0536153,0.15226607,-1.434952,0.0,93,148,1689,1,1,1,train
2025-01-01 08:05:12,user_028,0,normal,-0.12221605,0.42714676,-1.434952,0.0,27,13,1003,0,1,0,train
2025-01-01 08:06:17,user_076,0,normal,-0.12430289,0.85507137,-1.434952,0.0,75,20,1013,0,1,0,train
2025-01-01 08:12:51,user_100,0,normal,-0.122696385,-0.8471153,-1.434952,0.0,99,63,1131,0,1,0,train
2025-01-01 08:13:44,user_072,0,normal,-0.13205981,1.1140653,-1.434952,0.0,71,174,1160,0,1,0,train
2025-01-01 08:16:44,user_053,0,normal,-0.17431918,-0.8280193,-1.434952,0.0,52,87,257,2,1,4,train
2025-01-01 08:19:37,user_072,0,normal,-0.009660142,-0.54252326,-1.434952,0.0,71,174,257,2,1,4,train
2025-01-01 08:21:32,user_089,0,normal,-0.09731644,0.3638323,-1.434952,0.0,88,54,1126,0,1,0,train
2025-01-01 08:22:01,user_062,0,normal,-0.14563695,0.34915087,-1.434952,0.0,61,69,142,3,2,5,train
2025-01-01 08:24:52,user_031,0,normal,-0.115074165,-0.034903746,-1.434952,0.0,30,198,1399,4,1,1,train
2025-01-01 08:25:02,user_007,0,normal,-0.16871914,-0.20135114,-1.434952,0.0,6,52,399,2,1,1,train
2025-01-01 08:26:02,user_052,0,normal,-0.13112225,-1.1551344,-1.434952,0.0,51,46,1118,0,1,0,train
2025-01-01 08:26:48,user_094,0,normal,-0.17852364,-0.39287746,-1.434952,0.0,93,148,231,3,2,5,train
2025-01-01 08:29:16,user_061,0,normal,-0.013646757,0.63675255,-1.434952,0.0,60,138,1708,1,1,1,train
2025-01-01 08:29:25,user_075,0,normal,-0.17378189,0.113638416,-1.434952,0.0,74,153,487,2,1,1,train
2025-01-01 08:30:10,user_090,0,normal,-0.14788234,-0.15694387,-1.434952,0.0,89,125,949,0,1,0,train
2025-01-01 08:31:19,user_029,0,normal,-0.077278666,-0.9646682,-1.434952,0.0,28,171,654,2,1,4,train
2025-01-01 08:31:46,user_099,1,data_exfiltration,4.6670985,-0.33036166,-1.434952,0.0,98,2,2014,2,1,1,train
2025-01-01 08:31:49,user_051,0,normal,-0.07654354,-0.61996734,-1.434952,0.0,50,100,749,3,2,5,train
2025-01-01 08:33:44,user_055,0,normal,0.078379504,0.7188436,-1.434952,0.0,54,94,490,2,1,1,train
2025-01-01 08:36:20,user_024,0,normal,-0.13114919,-0.46236363,-1.434952,0.0,23,10,1323,4,1,1,train
2025-01-01 08:37:32,user_040,0,normal,-0.13255323,-0.8504698,-1.434952,0.0,39,147,729,3,2,1,train
2025-01-01 08:37:43,user_092,0,normal,-0.15441997,-1.1744628,-1.434952,0.0,91,12,1181,4,1,1,train
2025-01-01 08:38:10,user_099,0,normal,-0.11148013,0.41005474,-1.434952,0.0,98,152,746,3,2,1,train
