user_id,timestamp,anomaly_type,probable_reason,bytes_sent,source_ip,event_type
user_049,2025-01-01 08:02:18,brute_force_login,много неуспешных входов,921.39,10.10.234.70,login
user_099,2025-01-01 08:31:46,data_exfiltration,резкий рост исходящего трафика,63329.36,10.10.106.243,file_access
user_007,2025-01-01 08:57:07,brute_force_login,много неуспешных входов,524.46,10.20.94.217,login
user_068,2025-01-01 09:11:23,brute_force_login,много неуспешных входов,800.72,10.10.171.210,login
user_098,2025-01-01 09:12:48,unusual_ip_change,необычная смена IP-адреса,744.21,185.220.100.12,login
user_064,2025-01-01 09:44:17,unusual_ip_change,необычная смена IP-адреса,1123.87,185.220.100.69,login
user_059,2025-01-01 09:55:58,data_exfiltration,резкий рост исходящего трафика,44635.24,10.20.242.223,file_access
user_026,2025-01-01 11:13:23,unusual_ip_change,необычная смена IP-адреса,1700.76,185.220.100.194,login
user_079,2025-01-01 11:20:06,data_exfiltration,резкий рост исходящего трафика,121130.09,10.20.205.5,file_access
user_037,2025-01-01 11:31:42,brute_force_login,много неуспешных входов,431.89,10.10.11.128,login
user_081,2025-01-01 11:45:41,data_exfiltration,резкий рост исходящего трафика,33584.98,10.10.22.13,file_access
user_010,2025-01-01 11:54:40,brute_force_login,много неуспешных входов,436.99,10.20.213.39,login
user_036,2025-01-01 12:21:03,unusual_ip_change,необычная смена IP-адреса,904.56,185.220.100.206,login
user_018,2025-01-01 12:26:58,brute_force_login,много неуспешных входов,842.52,10.10.114.56,login
user_001,2025-01-01 12:41:32,data_exfiltration,резкий рост исходящего трафика,64203.3,10.20.198.28,file_access
user_019,2025-01-01 13:26:36,data_exfiltration,резкий рост исходящего трафика,68725.17,10.20.246.53,file_access
user_012,2025-01-01 14:27:58,unusual_ip_change,необычная смена IP-адреса,1378.85,185.220.100.121,login
user_056,2025-01-01 15:13:59,unusual_ip_change,необычная смена IP-адреса,1091.58,185.220.100.131,login
user_003,2025-01-01 15:23:29,brute_force_login,много неуспешных входов,863.37,10.20.237.55,login
user_059,2025-01-01 15:47:41,data_exfiltration,резкий рост исходящего трафика,75504.81,10.20.242.223,file_access
user_056,2025-01-01 15:55:06,unusual_ip_change,необычная смена IP-адреса,2231.39,185.220.100.131,login
user_049,2025-01-01 16:33:33,brute_force_login,много неуспешных входов,384.07,10.10.234.70,login
user_064,2025-01-01 16:35:06,unusual_ip_change,необычная смена IP-адреса,2435.07,185.220.100.69,login
user_096,2025-01-01 16:48:50,unusual_ip_change,необычная смена IP-адреса,1271.91,185.220.100.151,login
user_042,2025-01-01 16:56:55,brute_force_login,много неуспешных входов,522.5,10.10.73.88,login
user_005,2025-01-01 17:38:13,data_exfiltration,резкий рост исходящего трафика,61315.81,10.10.17.107,file_access
user_004,2025-01-01 17:46:42,data_exfiltration,резкий рост исходящего трафика,55119.51,10.10.58.49,file_access
user_069,2025-01-01 18:28:43,unusual_ip_change,необычная смена IP-адреса,1809.49,185.220.100.184,login
user_053,2025-01-02 00:22:22,unusual_night_activity,активность в нетипичное ночное время,3309.22,10.10.72.71,email_access
user_003,2025-01-02 01:03:33,unusual_night_activity,активность в нетипичное ночное время,3604.32,10.10.46.193,file_access
user_002,2025-01-02 01:24:40,unusual_night_activity,активность в нетипичное ночное время,1780.76,10.20.188.85,file_access
user_013,2025-01-02 02:14:02,unusual_night_activity,активность в нетипичное ночное время,2787.19,10.20.143.39,web_request
user_050,2025-01-02 02:35:31,unusual_night_activity,активность в нетипичное ночное время,2812.75,10.20.181.127,email_access
user_041,2025-01-02 03:02:18,unusual_night_activity,активность в нетипичное ночное время,1804.99,10.10.249.20,file_access
user_064,2025-01-02 03:27:49,unusual_night_activity,активность в нетипичное ночное время,4960.69,10.20.23.25,web_request
user_024,2025-01-02 03:41:03,unusual_night_activity,активность в нетипичное ночное время,5279.65,10.10.126.118,file_access
user_082,2025-01-02 08:29:32,brute_force_login,много неуспешных входов,560.44,10.10.69.85,login
user_080,2025-01-02 09:25:01,unusual_ip_change,необычная смена IP-адреса,834.02,185.220.100.57,login
user_016,2025-01-02 10:57:29,data_exfiltration,резкий рост исходящего трафика,57864.82,10.10.104.10,file_access
user_003,2025-01-02 12:00:38,brute_force_login,много неуспешных входов,771.66,10.10.46.193,login
user_055,2025-01-02 12:04:24,data_exfiltration,резкий рост исходящего трафика,24708.82,10.20.205.75,file_access
user_071,2025-01-02 12:16:28,data_exfiltration,резкий рост исходящего трафика,61406.76,10.10.166.225,file_access
user_001,2025-01-02 12:28:26,data_exfiltration,резкий рост исходящего трафика,86573.25,10.20.198.28,file_access
user_038,2025-01-02 12:41:25,data_exfiltration,резкий рост исходящего трафика,44612.1,10.20.239.42,file_access
user_017,2025-01-02 13:33:12,data_exfiltration,резкий рост исходящего трафика,42742.73,10.10.183.140,file_access
user_070,2025-01-02 13:53:02,unusual_ip_change,необычная смена IP-адреса,1482.97,185.220.100.140,login
user_081,2025-01-02 14:06:42,data_exfiltration,резкий рост исходящего трафика,109263.43,10.10.22.13,file_access
user_073,2025-01-02 14:07:25,unusual_ip_change,необычная смена IP-адреса,1034.56,185.220.100.12,login
user_097,2025-01-02 14:57:17,data_exfiltration,резкий рост исходящего трафика,34254.04,10.10.115.24,file_access
user_020,2025-01-02 15:01:40,brute_force_login,много неуспешных входов,455.88,10.10.248.18,login
user_098,2025-01-02 15:49:09,data_exfiltration,резкий рост исходящего трафика,124259.38,10.20.85.107,file_access
user_034,2025-01-02 17:58:46,unusual_ip_change,необычная смена IP-адреса,699.59,185.220.100.132,login
user_064,2025-01-02 18:20:14,brute_force_login,много неуспешных входов,600.4,10.10.203.134,login
user_064,2025-01-02 18:20:56,data_exfiltration,резкий рост исходящего трафика,65037.64,10.10.203.134,file_access
user_049,2025-01-02 18:29:01,brute_force_login,много неуспешных входов,478.29,10.20.235.188,login
user_021,2025-01-02 22:02:39,unusual_night_activity,активность в нетипичное ночное время,6245.47,10.10.32.176,web_request
user_075,2025-01-02 22:15:59,unusual_night_activity,активность в нетипичное ночное время,2912.76,10.20.214.56,file_access
user_053,2025-01-02 23:35:06,unusual_night_activity,активность в нетипичное ночное время,1573.86,10.10.72.71,web_request
user_021,2025-01-02 23:57:50,unusual_night_activity,активность в нетипичное ночное время,6140.58,10.20.116.174,file_access
user_038,2025-01-03 00:40:26,unusual_night_activity,активность в нетипичное ночное время,3696.3,10.20.239.42,file_access
user_006,2025-01-03 01:08:12,unusual_night_activity,активность в нетипичное ночное время,3632.52,10.10.119.123,file_access
user_071,2025-01-03 02:23:11,unusual_night_activity,активность в нетипичное ночное время,3455.04,10.20.252.138,file_access
user_090,2025-01-03 02:44:46,unusual_night_activity,активность в нетипичное ночное время,2200.64,10.10.146.139,web_request
user_047,2025-01-03 04:34:22,unusual_night_activity,активность в нетипичное ночное время,2928.06,10.10.135.240,file_access
user_033,2025-01-03 08:04:10,unusual_ip_change,необычная смена IP-адреса,781.83,185.220.100.209,login
user_033,2025-01-03 08:11:52,data_exfiltration,резкий рост исходящего трафика,66863.09,10.10.76.130,file_access
