epoch,train_loss,validation_precision,validation_recall,validation_f1,validation_roc_auc,validation_threshold,validation_threshold_percentile,improved
1,1.3281848547888584,0.6726384364820847,0.3535958904109589,0.46352413019079686,0.7208068469694127,1.3844548463821411,85,1
2,0.8976049840124578,0.6905537459283387,0.363013698630137,0.47586980920314254,0.7289776458997936,1.2364814281463623,85,1
3,0.8034960158535691,0.7068403908794788,0.3715753424657534,0.48709315375982043,0.7320420986582847,1.1723161935806274,85,1
4,0.7585234521516685,0.7035830618892508,0.3698630136986301,0.48484848484848486,0.7328916658847814,1.1196081638336182,85,0
5,0.7105480693077129,0.7068403908794788,0.3715753424657534,0.48709315375982043,0.7377987779133046,1.0531963109970093,85,1
6,0.6590765349851931,0.7231270358306189,0.3801369863013699,0.4983164983164983,0.7444412354569337,0.9823614358901978,85,1
7,0.6069248608552693,0.7117263843648208,0.3741438356164384,0.4904601571268238,0.7461402233064366,0.9395875334739685,85,0
8,0.5810762598214905,0.7247557003257329,0.3809931506849315,0.4994388327721661,0.7480366860574217,0.908573567867279,85,1
9,0.5529332165835333,0.742671009771987,0.3904109589041096,0.5117845117845118,0.7507805169825483,0.8779160976409912,85,1
10,0.5157675334338934,0.747557003257329,0.3929794520547945,0.5151515151515151,0.7582156595984237,0.833764910697937,85,1
11,0.4776253317548929,0.755700325732899,0.3972602739726027,0.5207631874298541,0.7611283777444173,0.8000327348709106,85,1
12,0.44750489318957093,0.7654723127035831,0.4023972602739726,0.5274971941638609,0.7678876782698443,0.7636634707450867,85,1
13,0.42198687580113853,0.7671009771986971,0.4032534246575342,0.5286195286195287,0.7727393741790205,0.7423717975616455,85,1
14,0.3994960216550879,0.7866449511400652,0.413527397260274,0.5420875420875421,0.7802035442859824,0.7047961950302124,85,1
15,0.3792590249757298,0.7850162866449512,0.4126712328767123,0.5409652076318743,0.7846441640082567,0.6833013296127319,85,0
16,0.3617502809222279,0.8061889250814332,0.4238013698630137,0.5555555555555556,0.7878559532745355,0.6603701114654541,85,1
17,0.34445320208215974,0.8175895765472313,0.4297945205479452,0.5634118967452301,0.7930521673860012,0.6332119703292847,85,1
18,0.32547015831118725,0.8289902280130294,0.4357876712328767,0.5712682379349046,0.8017340260836932,0.6037577986717224,85,1
19,0.3035571858531139,0.8371335504885994,0.4400684931506849,0.5768799102132436,0.8096638088759617,0.57591712474823,85,1
20,0.28602507588316184,0.8517915309446255,0.4477739726027397,0.5869809203142536,0.8156320369675361,0.5587090253829956,85,1
21,0.2743050916110232,0.8517915309446255,0.4477739726027397,0.5869809203142536,0.8187564505535748,0.5456036925315857,85,1
22,0.2646853917283439,0.8501628664495114,0.4469178082191781,0.5858585858585859,0.8201805568586977,0.5362392067909241,85,0
23,0.25588539820876927,0.8485342019543974,0.4460616438356164,0.5847362514029181,0.8215439693188216,0.5262208580970764,85,0
24,0.24785058029362414,0.8485342019543974,0.4460616438356164,0.5847362514029181,0.8230522260273972,0.5167758464813232,85,0
25,0.23927385632783338,0.8566775244299675,0.4503424657534247,0.590347923681257,0.8249894445486958,0.5106677412986755,85,1
26,0.23218376836815818,0.8501628664495114,0.4469178082191781,0.5858585858585859,0.8256902092325014,0.4956653416156769,85,0
27,0.22683546671776172,0.8485342019543974,0.4460616438356164,0.5847362514029181,0.8269313543816851,0.49137410521507263,85,0
28,0.2218762461116405,0.8436482084690554,0.4434931506849315,0.5813692480359147,0.8258412108275474,0.48722949624061584,85,0
29,0.2172623179812249,0.8485342019543974,0.4460616438356164,0.5847362514029181,0.8270996551885909,0.4766523540019989,85,0
30,0.21252514633650338,0.8420195439739414,0.4426369863013699,0.5802469135802469,0.828314411709514,0.46748197078704834,85,0
