epoch,train_loss,validation_precision,validation_recall,validation_f1,validation_roc_auc,validation_threshold,validation_threshold_percentile,improved
1,1.7469013534162356,0.6465798045602605,0.3398972602739726,0.44556677890011226,0.7167688004316006,1.4858797788619995,85,1
2,0.9801046077323996,0.6677524429967426,0.351027397260274,0.4601571268237935,0.7226948067179584,1.3885457515716553,85,1
3,0.9325147595094598,0.6872964169381107,0.3613013698630137,0.47362514029180697,0.728714639238131,1.3273704051971436,85,1
4,0.8663278895875682,0.6905537459283387,0.363013698630137,0.47586980920314254,0.7312567437605554,1.227798342704773,85,1
5,0.8028874513895615,0.6954397394136808,0.3655821917808219,0.4792368125701459,0.730202078251079,1.172528862953186,85,1
6,0.7689761888721715,0.6905537459283387,0.363013698630137,0.47586980920314254,0.7279816217864514,1.1400803327560425,85,0
7,0.7374798603679823,0.6970684039087948,0.3664383561643836,0.48035914702581367,0.7320797757553013,1.0914418697357178,85,1
8,0.6976147177426711,0.7052117263843648,0.3707191780821918,0.48597081930415265,0.7375114350722463,1.0453362464904785,85,1
9,0.6640498949133832,0.7149837133550488,0.3758561643835616,0.49270482603815935,0.7415878917245262,1.016979455947876,85,1
10,0.6345041037901588,0.7182410423452769,0.3775684931506849,0.494949494949495,0.7454860785325577,0.9819974899291992,85,1
11,0.6020962537630744,0.7280130293159609,0.3827054794520548,0.5016835016835017,0.749503307374742,0.9378584623336792,85,1
12,0.5652467608451843,0.7345276872964169,0.3861301369863014,0.5061728395061729,0.7534756755488836,0.8990762233734131,85,1
13,0.5342851867494376,0.744299674267101,0.3912671232876712,0.5129068462401796,0.7554378166635392,0.8694548606872559,85,1
14,0.5022730645926102,0.758957654723127,0.398972602739726,0.5230078563411896,0.7606404813285795,0.831259548664093,85,1
15,0.47018640909505927,0.7687296416938111,0.4041095890410959,0.5297418630751964,0.7644109764965284,0.7972569465637207,85,1
16,0.4433166005689165,0.757328990228013,0.3981164383561644,0.5218855218855218,0.7678727247138301,0.7701141238212585,85,0
17,0.41987302931754483,0.752442996742671,0.3955479452054795,0.5185185185185185,0.7713252369112404,0.7408223748207092,85,0
18,0.3997815367968186,0.749185667752443,0.3938356164383562,0.5162738496071829,0.7717594764496153,0.7190247774124146,85,0
19,0.38401176586099295,0.744299674267101,0.3912671232876712,0.5129068462401796,0.773342794145243,0.7014476656913757,85,0
20,0.36894782729770825,0.744299674267101,0.3912671232876712,0.5129068462401796,0.7744458388065303,0.6786866188049316,85,0
