sequence_index,y_true,reconstruction_error,pred
0,1,159280.66,0
1,1,109794.66,0
2,0,114509.08,0
3,0,141707.67,0
4,1,142540.7,0
5,1,151710.16,0
6,1,139877.45,0
7,1,181109.88,1
8,0,135469.0,0
9,0,226744.98,1
10,1,125636.08,0
11,0,118631.04,0
12,1,150652.56,0
13,1,125280.07,0
14,1,162799.06,0
15,0,124787.47,0
16,1,111613.7,0
17,1,53607.266,0
18,0,148949.62,0
19,0,150371.75,0
20,0,104960.72,0
21,1,158356.81,0
22,1,108268.35,0
23,1,65222.215,0
24,1,143442.38,0
25,1,104841.07,0
26,0,130818.06,0
27,1,140189.84,0
28,0,152628.27,0
29,1,70840.48,0
30,0,89353.76,0
31,1,70417.51,0
32,0,148605.9,0
33,0,104246.38,0
34,1,85554.32,0
35,0,153888.38,0
36,1,215944.2,1
37,1,143071.11,0
38,1,97899.91,0
39,1,130009.64,0
40,1,137874.94,0
41,0,113998.88,0
42,1,128377.27,0
43,0,79384.47,0
44,0,114514.48,0
45,0,120064.35,0
46,1,93680.51,0
47,1,138573.88,0
48,1,207815.22,1
49,0,108047.06,0
50,0,77945.53,0
51,1,116928.4,0
52,1,149262.88,0
53,0,140058.52,0
54,0,73542.305,0
55,0,131143.9,0
56,0,155738.55,0
57,0,109607.12,0
58,1,138954.9,0
59,1,112086.84,0
60,0,145177.53,0
61,0,86709.74,0
62,0,172068.22,0
63,1,182533.8,1
64,0,87180.05,0
65,1,128672.85,0
66,0,133321.27,0
67,1,191631.92,1
68,0,134697.94,0
69,1,142967.28,0
70,0,155880.62,0
71,1,110106.15,0
72,0,111277.33,0
73,1,155266.81,0
74,0,146350.84,0
75,1,122337.83,0
76,0,148103.62,0
77,0,116577.51,0
78,0,121942.24,0
79,0,137086.66,0
80,0,72656.3,0
81,0,149254.55,0
82,0,158550.42,0
83,1,73309.29,0
84,1,147236.95,0
85,1,187083.27,1
86,1,152821.36,0
87,0,85243.53,0
88,0,61424.004,0
89,0,155220.83,0
90,0,105694.43,0
91,0,172927.16,0
92,1,100973.7,0
93,1,78592.98,0
94,1,150442.1,0
95,0,151305.61,0
96,1,130826.91,0
97,0,169574.52,0
98,1,99739.19,0
99,1,157678.4,0
100,1,132146.86,0
101,1,142952.23,0
102,0,137082.89,0
103,1,166865.05,0
104,1,101093.29,0
105,0,101436.97,0
106,0,175707.05,0
107,0,157113.33,0
108,0,65251.91,0
109,0,136150.42,0
110,0,56375.574,0
111,1,160137.97,0
112,1,95212.28,0
113,0,138643.27,0
114,0,150000.27,0
115,0,90842.49,0
116,0,113952.95,0
117,1,147029.81,0
118,1,145939.66,0
119,0,180635.42,1
120,1,100084.88,0
121,0,150151.77,0
122,1,87987.18,0
123,0,77776.4,0
124,0,118416.73,0
125,0,85685.82,0
126,1,66776.81,0
127,0,165574.98,0
128,0,97452.01,0
129,1,77110.4,0
130,0,145165.89,0
131,0,110014.81,0
132,1,125008.76,0
133,1,175398.02,0
134,1,153913.22,0
135,0,99979.06,0
136,0,155554.88,0
137,1,119101.01,0
138,0,137125.62,0
139,0,178176.94,1
140,0,107395.76,0
141,1,110195.8,0
142,1,88277.66,0
143,0,131099.89,0
144,1,129469.35,0
145,1,78915.55,0
146,0,211889.9,1
147,1,36838.832,0
148,0,66121.78,0
149,1,103429.46,0
150,0,89511.94,0
151,0,105975.06,0
152,1,137596.55,0
153,1,106347.87,0
154,1,108366.5,0
155,0,125269.87,0
156,0,140002.98,0
157,1,173787.9,0
158,1,162189.52,0
159,1,96750.65,0
160,1,76099.41,0
161,0,67373.555,0
162,1,150284.2,0
163,1,114488.18,0
164,1,91014.04,0
165,0,103028.01,0
166,1,70356.73,0
167,0,142383.72,0
168,0,125948.86,0
169,0,76947.37,0
170,0,121987.18,0
171,1,76486.516,0
172,0,141647.0,0
173,1,91471.03,0
174,0,112682.03,0
175,1,83853.68,0
176,1,129141.73,0
177,1,124657.13,0
178,1,73751.12,0
179,0,103352.66,0
180,1,86790.06,0
181,0,164673.38,0
182,0,163533.84,0
183,0,160017.1,0
184,1,90628.9,0
185,1,87906.81,0
186,1,108484.22,0
187,0,171976.14,0
188,0,130371.71,0
189,1,131552.19,0
190,1,158982.58,0
191,1,110065.2,0
192,1,92263.57,0
193,1,182242.58,1
194,0,99934.21,0
195,0,84657.25,0
196,0,98462.74,0
197,0,98748.7,0
198,1,84181.0,0
199,0,126389.91,0
200,1,157074.14,0
201,0,77946.09,0
202,1,166334.2,0
203,0,91903.34,0
204,0,119346.96,0
205,1,119695.35,0
206,0,94718.08,0
207,0,177044.98,0
208,1,104470.53,0
209,0,90495.53,0
210,1,116661.92,0
211,1,188272.45,1
212,1,69512.39,0
213,0,78306.88,0
214,0,110656.04,0
215,1,171845.72,0
216,1,142166.36,0
217,1,138542.03,0
218,1,135481.84,0
219,0,122867.79,0
220,1,159210.7,0
221,0,149782.61,0
222,1,94989.23,0
223,1,190914.78,1
224,0,111755.06,0
225,1,89063.67,0
226,0,171424.72,0
227,0,112036.46,0
228,0,164375.33,0
229,1,155855.81,0
230,1,191572.86,1
231,1,166741.69,0
