sequence_length,hidden_size,epochs,batch_size,learning_rate,experiment_tag,epochs_completed,best_epoch,selected_threshold_percentile,sequence_anomaly_ratio,precision,recall,f1,roc_auc,validation_precision,validation_recall,validation_f1,validation_roc_auc,stopped_early
5,16,30,64,0.001,stage8_full_grid_09,30,25,85,0.2858219178082192,0.873545384018619,0.4496805111821086,0.5937252834168204,0.8186911172303344,0.8566775244299675,0.4503424657534247,0.590347923681257,0.8249894445486958,0
5,16,20,64,0.001,stage8_full_grid_05,20,20,85,0.2858219178082192,0.8695987654320988,0.4500798722044728,0.5931578947368421,0.8089890254876085,0.8517915309446255,0.4477739726027397,0.5869809203142536,0.8156320369675361,0
5,32,30,64,0.001,stage8_full_grid_21,30,27,85,0.2858219178082192,0.8580199539524175,0.4464856230031949,0.5873391121618072,0.8286832819407106,0.8469055374592834,0.4452054794520548,0.5836139169472503,0.8340773949146181,0
5,32,20,64,0.001,stage8_full_grid_17,20,19,85,0.2858219178082192,0.8560371517027864,0.4416932907348243,0.5827186512118019,0.8206127229680593,0.8355048859934854,0.4392123287671233,0.5757575757575758,0.8289386493713643,0
5,32,20,64,0.0005,stage8_full_grid_18,20,20,85,0.2858219178082192,0.8367816091954023,0.4361022364217252,0.5733788395904437,0.8081973573739817,0.8241042345276873,0.4332191780821918,0.5679012345679012,0.8141687875304935,0
5,32,30,64,0.0005,stage8_full_grid_22,25,20,85,0.2858219178082192,0.8367816091954023,0.4361022364217252,0.5733788395904437,0.8081973573739817,0.8241042345276873,0.4332191780821918,0.5679012345679012,0.8141687875304935,1
6,32,30,64,0.001,stage8_full_grid_45,30,28,85,0.3322068965517241,0.8725071225071225,0.4238754325259515,0.5705635770843037,0.8139766778433556,0.8981937602627258,0.4054855448480355,0.5587334014300307,0.807410929691215,0
5,32,10,64,0.001,stage8_full_grid_13,10,10,85,0.2858219178082192,0.820747520976354,0.4297124600638977,0.564089121887287,0.8029302093632286,0.8143322475570033,0.4280821917808219,0.5611672278338945,0.8139823078907862,0
6,32,20,64,0.001,stage8_full_grid_41,20,20,85,0.3322068965517241,0.8696612665684831,0.4086505190311418,0.5560263653483992,0.8016868363220554,0.8932676518883416,0.4032616753150482,0.5556690500510725,0.7979308415676843,0
5,16,30,128,0.001,stage8_full_grid_11,30,30,85,0.2858219178082192,0.793939393939394,0.4185303514376997,0.5481171548117155,0.780220381405097,0.7817589576547231,0.410958904109589,0.5387205387205387,0.7790418582285608,0
6,16,30,64,0.001,stage8_full_grid_33,30,30,85,0.3322068965517241,0.8281811646297628,0.3986159169550173,0.5381920112123336,0.7840278067286446,0.8308702791461412,0.3750926612305411,0.5168539325842697,0.779091798260881,0
